bot_id,bot_name,bot_division,bot_status,bot_version,capability_intent,capability_division,capability_enabled,risk_level,approval_required,revenue_generating,spends_money
dreambuddy_core,DreamBuddy Core,DreamAgents,active,1.0.0,add_todo,DreamAgents,True,low,False,False,False
dreambuddy_core,DreamBuddy Core,DreamAgents,active,1.0.0,list_todos,DreamAgents,True,low,False,False,False
dreambuddy_core,DreamBuddy Core,DreamAgents,active,1.0.0,complete_todo,DreamAgents,True,low,False,False,False
dreambuddy_core,DreamBuddy Core,DreamAgents,active,1.0.0,lead_generation,DreamSalesPro,True,medium,True,True,False
dreambuddy_core,DreamBuddy Core,DreamAgents,active,1.0.0,send_email,DreamSalesPro,True,medium,True,False,False
dreambuddy_core,DreamBuddy Core,DreamAgents,active,1.0.0,run_paid_campaign,DreamMarket,True,high,True,True,True
